N,Xi,V(xi),V2(x2i),|||V(xi) - V2(x2i)|||
0,0.0,1,1,0
5,0.005,0.9966494272342904,0.9966494456934187,1.845912833697838e-08
10,0.010000000000000002,0.9933162129358803,0.9933162498573199,3.692143957234606e-08
15,0.015000000000000006,0.9900000393739314,0.9900000947616178,5.538768632629143e-08
20,0.02000000000000001,0.9867005903889341,0.9867006642475533,7.385861922060144e-08
25,0.025000000000000015,0.9834175513597174,0.9834176436947082,9.233499076444218e-08
30,0.03000000000000002,0.9801506091708169,0.9801507199883711,1.1081755424413586e-07
35,0.035000000000000024,0.9768994521801675,0.9768995814872272,1.2930705972635792e-07
40,0.04000000000000003,0.9736637701871277,0.9736639179913988,1.478042711555716e-07
45,0.04500000000000003,0.9704432544008141,0.9704434207107524,1.6630993826538543e-07
50,0.05000000000000004,0.967237597408744,0.9672377822335574,1.848248133429209e-07
55,0.05500000000000004,0.9640464931457636,0.964046696495418,2.033496543374369e-07
60,0.060000000000000046,0.9608696368632523,0.960869858748476,2.2188522363908447e-07
65,0.06500000000000004,0.9577067250986113,0.9577069655308954,2.404322840821038e-07
70,0.07000000000000005,0.9545574556449988,0.9545577146365976,2.5899159872277977e-07
75,0.07500000000000005,0.9514215275213129,0.9514218050852519,2.7756393894406983e-07
80,0.08000000000000006,0.9482986409424222,0.9482989370924879,2.961500656928351e-07
85,0.08500000000000006,0.9451884972896161,0.945188812040362,3.1475074591114094e-07
90,0.09000000000000007,0.9420907990812696,0.9420911324480237,3.3336675409056937e-07
95,0.09500000000000007,0.939005249943722,0.9390056019425896,3.5199886760928223e-07
100,0.10000000000000007,0.9359315545823531,0.9359319252302235,3.706478703957572e-07
105,0.10500000000000008,0.9328694187528376,0.9328698080673771,3.893145394950892e-07
110,0.11000000000000008,0.9298185492325856,0.929818957232239,4.0799965339566313e-07
115,0.11500000000000009,0.9267786537923408,0.9267790804963395,4.267039986904919e-07
120,0.12000000000000009,0.9237494411679439,0.923749886596313,4.4542836907801586e-07
125,0.12500000000000008,0.9207306210322346,0.9207310852057871,4.6417355248351555e-07
130,0.1300000000000001,0.9177219039670994,0.9177223869074439,4.829403444928104e-07
135,0.1350000000000001,0.9147230014356384,0.9147235031651832,5.017295447995451e-07
140,0.1400000000000001,0.9117336257544554,0.911734146296406,5.205419506548736e-07
145,0.1450000000000001,0.9087534900660507,0.9087540294444182,5.393783675256003e-07
150,0.1500000000000001,0.9057823083113115,0.9057828665509196,5.582396080949792e-07
155,0.1550000000000001,0.9028197952020974,0.9028203723285766,5.771264791620823e-07
160,0.16000000000000011,0.8998656661938973,0.8998662622336943,5.960397969628772e-07
165,0.16500000000000012,0.8969196374585571,0.8969202524389442,6.149803871702275e-07
170,0.17000000000000012,0.893981425857067,0.8939820598061401,6.339490731255282e-07
